Date,Open,High,Low,Close,Volume
17-08-2017,20.779,20.779,20.5297,20.6128,96266
18-08-2017,20.6128,20.6959,20.4466,20.6128,131630
21-08-2017,20.6128,20.779,20.6128,20.6959,80109
22-08-2017,20.779,20.8621,20.6959,20.6959,75372
23-08-2017,20.779,20.779,20.6128,20.6959,68770
24-08-2017,20.6128,20.6959,20.6128,20.6959,58650
25-08-2017,20.6128,20.6128,20.4466,20.6128,115120
28-08-2017,20.5297,20.6128,20.3635,20.4466,164730
29-08-2017,20.4466,20.4466,20.3635,20.4466,85700
30-08-2017,20.5297,21.0284,20.4466,20.8621,222041
31-08-2017,21.1176,21.5433,20.8621,21.1178,142980
01-09-2017,21.203,21.203,20.8623,21.0326,39400
05-09-2017,20.9474,21.0326,20.7771,20.9475,52900
06-09-2017,21.0327,21.0327,20.7772,20.9475,162890
07-09-2017,20.8623,21.0327,20.8623,20.9475,46660
08-09-2017,20.9475,21.0327,20.9475,20.9475,117506
11-09-2017,21.0327,21.0327,20.9475,20.9475,145989
12-09-2017,20.9475,20.9475,20.8623,20.9475,278640
13-09-2017,21.0327,21.0327,20.8623,20.9475,155813
14-09-2017,20.8623,21.0327,20.8623,21.0326,156738
15-09-2017,20.9474,21.0326,20.8623,21.0326,67220
18-09-2017,21.0326,22.1396,21.0326,21.799,338724
19-09-2017,21.799,21.799,21.4584,21.6287,40999
20-09-2017,21.2881,21.8842,21.2881,21.6287,73200
21-09-2017,21.7139,21.8842,21.6287,21.6287,131112
22-09-2017,21.7139,21.8842,21.2881,21.7139,181480
25-09-2017,21.7139,22.6506,21.2881,22.3099,530450
26-09-2017,22.3099,22.3951,21.9693,22.0545,184932
27-09-2017,22.1397,22.1397,21.8842,21.9693,101051
28-09-2017,21.799,21.8841,21.2881,21.3733,238330
29-09-2017,21.7139,21.7991,21.3733,21.5436,138144
02-10-2017,22.1397,23.8427,21.7991,22.8209,733396
03-10-2017,22.9912,22.9912,22.2248,22.3951,350010
04-10-2017,22.3951,23.7575,22.2248,23.5872,747635
05-10-2017,23.502,24.4387,23.4169,23.5021,837821
06-10-2017,23.6724,24.1833,23.5021,23.8427,513490
09-10-2017,23.9279,24.3536,23.7575,23.9278,495507
10-10-2017,24.013,24.013,23.3317,23.4169,569943
